Date,Ball,X
104/09/04,X5,44
104/09/04,X6,47
104/09/04,S,9
104/09/01,X1,20
104/09/01,X2,48
104/09/01,X3,40
104/09/01,X4,18
104/09/01,X5,19
104/09/01,X6,9
104/09/01,S,3
104/08/28,X1,15
104/08/28,X2,11
104/08/28,X3,46
104/08/28,X4,40
104/08/28,X5,8
104/08/28,X6,12
104/08/28,S,16
104/08/25,X1,45
104/08/25,X2,22
104/08/25,X3,13
104/08/25,X4,26
104/08/25,X5,47
104/08/25,X6,15
104/08/25,S,49
104/08/21,X1,20
104/08/21,X2,10
104/08/21,X3,15
104/08/21,X4,21
104/08/21,X5,36
104/08/21,X6,27
104/08/21,S,45
104/08/18,X1,29
104/08/18,X2,49
104/08/18,X3,30
104/08/18,X4,8
104/08/18,X5,20
104/08/18,X6,42
104/08/18,S,21
104/08/14,X1,13
104/08/14,X2,23
104/08/14,X3,42
104/08/14,X4,5
104/08/14,X5,24
104/08/14,X6,14
104/08/14,S,35
104/08/11,X1,45
104/08/11,X2,43
104/08/11,X3,46
104/08/11,X4,2
104/08/11,X5,35
104/08/11,X6,1
104/08/11,S,14
104/08/07,X1,25
104/08/07,X2,36
104/08/07,X3,28
104/08/07,X4,27
104/08/07,X5,37
104/08/07,X6,26
104/08/07,S,38
104/08/04,X1,48
104/08/04,X2,12
104/08/04,X3,3
104/08/04,X4,19
104/08/04,X5,17
104/08/04,X6,38
104/08/04,S,43
104/07/31,X1,30
104/07/31,X2,40
104/07/31,X3,13
104/07/31,X4,16
104/07/31,X5,32
104/07/31,X6,18
104/07/31,S,29
104/07/28,X1,49
104/07/28,X2,32
104/07/28,X3,6
104/07/28,X4,27
104/07/28,X5,15
104/07/28,X6,44
104/07/28,S,16
104/07/24,X1,25
104/07/24,X2,10
104/07/24,X3,12
104/07/24,X4,42
104/07/24,X5,33
104/07/24,X6,39
104/07/24,S,29
104/07/21,X1,16
104/07/21,X2,44
104/07/21,X3,40
104/07/21,X4,9
104/07/21,X5,8
104/07/21,X6,39
104/07/21,S,28
104/07/17,X1,33
104/07/17,X2,4
104/07/17,X3,27
104/07/17,X4,7
104/07/17,X5,20
104/07/17,X6,40
104/07/17,S,38
104/07/14,X1,45
104/07/14,X2,30
104/07/14,X3,10
104/07/14,X4,12
104/07/14,X5,14
104/07/14,X6,19
104/07/14,S,41
104/07/10,X1,6
104/07/10,X2,5
104/07/10,X3,26
104/07/10,X4,13
104/07/10,X5,47
104/07/10,X6,29
104/07/10,S,33
104/07/07,X1,46
104/07/07,X2,33
104/07/07,X3,1
104/07/07,X4,27
104/07/07,X5,14
104/07/07,X6,42
104/07/07,S,41
104/07/03,X1,21
104/07/03,X2,23
104/07/03,X3,29
104/07/03,X4,41
104/07/03,X5,46
104/07/03,X6,28
104/07/03,S,24
104/06/30,X1,18
104/06/30,X2,35
104/06/30,X3,19
104/06/30,X4,48
104/06/30,X5,46
104/06/30,X6,32
104/06/30,S,47
104/06/26,X1,6
104/06/26,X2,12
104/06/26,X3,5
104/06/26,X4,41
104/06/26,X5,29
104/06/26,X6,28
104/06/26,S,7
104/06/23,X1,45
104/06/23,X2,2
104/06/23,X3,13
104/06/23,X4,35
104/06/23,X5,33
104/06/23,X6,43
104/06/23,S,5
104/06/19,X1,18
104/06/19,X2,11
104/06/19,X3,5
104/06/19,X4,25
